phi,coronal,sagittal
0.220714,0.370093,0.617909
0.221429,0.750346,0.471859
0.222143,0.65394,0.639009
0.222857,0.639298,0.604121
0.223571,0.29094,0.45959
0.224286,0.387492,0.635765
0.225,0.760968,0.482955
0.225714,0.656313,0.646318
0.226429,0.644082,0.608772
0.227143,0.298046,0.462018
0.227857,0.669607,0.637961
0.228571,0.356767,0.612524
0.229286,0.738179,0.466775
0.23,0.652291,0.642101
0.230714,0.642014,0.605748
0.231429,0.29734,0.460782
0.232143,0.403305,0.656991
0.232857,0.763965,0.484788
0.233571,0.663795,0.646096
0.234286,0.660697,0.60527
0.235,0.305747,0.467945
0.235714,0.677747,0.642467
0.236429,0.664398,0.610797
0.237143,0.318388,0.466009
0.237857,0.681004,0.630925
0.238571,0.658518,0.620799
0.239286,0.317038,0.469506
0.24,0.674796,0.647173
0.240714,0.663872,0.614368
0.241429,0.319935,0.469494
0.242143,0.676112,0.648593
0.242857,0.665535,0.616143
0.243571,0.679664,0.468534
0.244286,0.349022,0.656367
0.245,0.398209,0.628654
0.245714,0.776506,0.486407
0.246429,0.689878,0.627133
0.247143,0.658777,0.621688
0.247857,0.67603,0.472135
0.248571,0.347913,0.659806
0.249286,0.398036,0.632947
0.25,0.776273,0.490297
0.250714,0.684436,0.641755
0.251429,0.664467,0.619231
0.252143,0.680282,0.476696
0.252857,0.346584,0.648341
0.253571,0.407073,0.646204
0.254286,0.779713,0.49688
0.255,0.687232,0.645358
0.255714,0.668144,0.623082
0.256429,0.644051,0.617029
0.257143,0.305141,0.480439
0.257857,0.664955,0.658427
0.258571,0.658916,0.627586
0.259286,0.319156,0.487328
0.26,0.675422,0.662202
0.260714,0.668759,0.632046
0.261429,0.655788,0.61967
0.262143,0.315915,0.484269
0.262857,0.670809,0.663045
0.263571,0.665127,0.633024
0.264286,0.652972,0.62128
0.265,0.31405,0.486177
0.265714,0.673953,0.652164
0.266429,0.659605,0.642147
0.267143,0.368863,0.632556
0.267857,0.762639,0.502546
0.268571,0.649786,0.66709
0.269286,0.648755,0.635437
0.27,0.31168,0.496837
0.270714,0.669958,0.670308
0.271429,0.665768,0.640643
0.272143,0.65513,0.628837
0.272857,0.315496,0.496877
0.273571,0.672244,0.671183
0.274286,0.668058,0.642363
0.275,0.657476,0.631093
0.275714,0.319678,0.498423
0.276429,0.673494,0.673923
0.277143,0.669695,0.644926
0.277857,0.659337,0.63359
0.278571,0.704463,0.502189
0.279286,0.373309,0.684768
0.28,0.670839,0.638223
0.280714,0.383721,0.644042
0.281429,0.770432,0.514052
0.282143,0.65367,0.676214
0.282857,0.654047,0.645812
0.283571,0.646696,0.634743
0.284286,0.3067,0.505854
0.285,0.668018,0.6765
0.285714,0.665594,0.648781
0.286429,0.656952,0.638145
0.287143,0.370492,0.640235
0.287857,0.768472,0.516776
0.288571,0.646679,0.678551
0.289286,0.648781,0.648252
0.29,0.370459,0.64537
0.290714,0.763073,0.517713
0.291429,0.648695,0.667968
0.292143,0.642349,0.656746
0.292857,0.365088,0.645781
0.293571,0.761526,0.52072
0.294286,0.643434,0.682088
0.295,0.385152,0.660144
0.295714,0.69995,0.627296
0.296429,0.674613,0.634351
0.297143,0.73399,0.519316
0.297857,0.385263,0.69127
0.298571,0.673949,0.648886
0.299286,0.664302,0.641499
0.3,0.655417,0.63669
0.300714,0.32308,0.508139
0.301429,0.671784,0.681444
0.302143,0.670305,0.654415
0.302857,0.662418,0.644267
0.303571,0.656807,0.637224
0.304286,0.32122,0.510066
0.305,0.670095,0.68389
0.305714,0.669286,0.655916
0.306429,0.66184,0.645251
0.307143,0.653515,0.639893
0.307857,0.322679,0.509735
0.308571,0.670515,0.684274
0.309286,0.669904,0.656363
0.31,0.662672,0.645735
0.310714,0.654584,0.640354
0.311429,0.324386,0.510108
0.312143,0.671415,0.684501
0.312857,0.671118,0.656602
0.313571,0.664175,0.64597
0.314286,0.661428,0.637417
0.315,0.324584,0.511953
0.315714,0.671612,0.685336
0.316429,0.672023,0.656947
0.317143,0.665621,0.646031
0.317857,0.66376,0.636815
0.318571,0.716692,0.517152
0.319286,0.382359,0.696091
0.32,0.667895,0.648865
0.320714,0.394843,0.655628
0.321429,0.703109,0.62444
0.322143,0.764116,0.526847
0.322857,0.642819,0.688488
0.323571,0.651088,0.654632
0.324286,0.649838,0.642063
0.325,0.322949,0.510904
0.325714,0.670854,0.683262
0.326429,0.673248,0.654931
0.327143,0.668798,0.643945
0.327857,0.663092,0.638452
0.328571,0.338599,0.50633
0.329286,0.677818,0.684579
0.33,0.68043,0.655256
0.330714,0.675705,0.64376
0.331429,0.675502,0.63219
0.332143,0.730419,0.516885
